trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,16,5.860808067171618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,0,-49.9511395269505,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,13,-41.83986751600959,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,-57.788524125390424,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",30,17,-28.419659020206794,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,0,-54.58794600701641,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,7,-53.62572426594794,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,14,13.092264747131285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-78.17698419694582,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,11,-48.384146191740165,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,16,-44.385809725386736,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-14.534727174528545,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-51.901129065930476,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,9,-3.2740991436028324,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
